"","location","decid","age","dwood","year","quadrant"
"1","1033-NE",70.0229170322418,79.9189596176147,7.37479162216187,2020,"NE"
"2","1167-SW",11.1591665744781,94.2241659164429,11.2972917556763,2018,"SW"
"3","1265-NW",3.28588238884421,18.7056861975614,1.18627448905917,2020,"NW"
"6","1265-NW",3.28588238884421,18.7056861975614,1.18627448905917,2017,"NW"
"9","1266-SE",22.9433333873749,80.7549996376038,11.0327084958553,2018,"SE"
"10","1292-NE",1.14395839162171,99.7643740177155,7.08666659891605,2020,"NE"
"13","1292-NE",1.14395839162171,99.7643740177155,7.08666659891605,2017,"NE"
"16","1292-NW",1.83444451126787,113.62203640408,8.36111103163825,2017,"NW"
"19","1292-NW",1.83444451126787,113.62203640408,8.36111103163825,2020,"NW"
"22","1292-SE",0.785416707396507,107.451459407806,8.62562495470047,2017,"SE"
"25","1292-SE",0.785416707396507,107.451459407806,8.62562495470047,2020,"SE"
"28","1293-SE",0.435208317823708,103.199998855591,6.98708328604698,2017,"SE"
"31","1293-SE",0.435208317823708,103.199998855591,6.98708328604698,2020,"SE"
"34","1325-SE",28.439791738987,89.6272916793823,9.93104156851768,2018,"SE"
"35","1425-SW",0.515490184811985,101.966079263126,9.41196091034833,2017,"SW"
"36","1448-NW",17.9796296490563,94.8511106703017,10.0477778646681,2017,"NW"
"37","15-SE",51.3237491846085,66.6810405254364,2.74604164529592,2015,"SE"
"38","154-SW",2.62675918473138,9.73370374573602,0.349999987830718,2017,"SW"
"39","211-SW",5.32422199249268,61.7426667531331,5.6311111236612,2017,"SW"
"40","213-SW",10.0558332949877,77.4033327102661,6.86895836889744,2018,"SW"
"41","234-SW",24.2870826721191,29.4635413885117,6.12291655875742,2016,"SW"
"43","234-SW",24.2870826721191,29.4635413885117,6.12291655875742,2015,"SW"
"45","235-NE",85.1072931289673,58.4408342838287,9.28208309412003,2015,"NE"
"47","235-NE",85.1072931289673,58.4408342838287,9.28208309412003,2016,"NE"
"49","235-SW",83.7372920513153,58.8595840930939,10.3522913455963,2015,"SW"
"51","235-SW",83.7372920513153,58.8595840930939,10.3522913455963,2016,"SW"
"53","236-NW",55.0242218017578,76.661110941569,12.1064444065094,2015,"NW"
"55","236-NW",55.0242218017578,76.661110941569,12.1064444065094,2016,"NW"
"57","252-SE",75.9020820856094,52.3718746900558,5.60458337049931,2020,"SE"
"58","264-NE",57.7873327891032,68.4313346862793,11.1535555362701,2016,"NE"
"60","264-NE",57.7873327891032,68.4313346862793,11.1535555362701,2015,"NE"
"62","264-NW",65.4186662038167,68.3631118774414,10.8135555267334,2015,"NW"
"64","264-NW",65.4186662038167,68.3631118774414,10.8135555267334,2016,"NW"
"66","264-SW",74.1935412883759,64.1770834922791,10.6747916340828,2016,"SW"
"68","264-SW",74.1935412883759,64.1770834922791,10.6747916340828,2015,"SW"
"70","265-SE",96.4126663208008,59.322444152832,13.6111110051473,2016,"SE"
"72","265-SE",96.4126663208008,59.322444152832,13.6111110051473,2015,"SE"
